bullet_rating,bullet_wins,bullet_losses,bullet_draws,blitz_rating,blitz_wins,blitz_losses,blitz_draws,rapid_rating,rapid_wins,rapid_losses,rapid_draws,daily_rating,daily_wins,daily_losses,daily_draws
1140,32,37,0,1428,4782,5192,339,1041,1,3,0,,,,
,,,,900,59,68,2,1066,1,9,1,1371,844,704,31
845,17,11,0,923,169,132,14,1166,3,0,0,,,,
,,,,854,260,212,8,768,0,1,0,,,,
674,3,6,0,784,197,188,14,631,0,1,0,942,1,0,0
873,1,3,1,977,884,861,38,478,0,3,0,,,,
,,,,614,282,318,18,,,,,945,1,3,0
935,19,25,0,1086,115,110,5,1146,3,3,0,1037,0,1,0
,,,,1080,823,774,97,521,1,3,0,701,0,2,0
,,,,1053,5,6,2,1094,7,8,0,,,,
,,,,914,0,2,0,1113,1,3,0,1226,3024,3489,227
,,,,773,2,4,0,984,3,8,0,,,,
,,,,1797,1526,1445,256,1095,0,2,0,,,,
659,0,1,0,761,362,349,48,911,63,81,9,,,,
,,,,380,3,6,0,613,0,1,0,Unrated,0,1,0
1073,6,8,0,1128,505,442,48,1037,0,1,0,1082,6,8,1
880,3,7,0,1213,28,25,1,1641,17,8,3,1643,737,371,88
1114,6,7,1,1007,19,29,1,,,,,,,,
694,0,2,0,879,3,1,1,1004,17,28,1,904,22,30,0
1420,10,5,0,1509,11,7,0,,,,,1205,9,11,0
1225,1,1,0,1829,6804,6335,541,1394,1,0,0,,,,
664,0,3,0,829,197,189,21,799,0,1,0,724,0,3,0
,,,,,,,,1006,0,1,0,,,,
,,,,466,106,106,13,614,0,1,0,Unrated,1,2,0
691,0,1,0,850,1351,1307,271,1096,4,0,0,764,86,136,16
,,,,853,4,5,0,1173,1,0,0,,,,
,,,,1154,1,1,0,,,,,,,,
,,,,1808,1146,1078,117,,,,,,,,
2158,204,156,21,2129,1220,1334,107,,,,,,,,
1047,3,20,0,1199,84,109,3,1196,2,3,0,,,,
860,35,52,3,1230,861,822,48,1206,0,2,0,,,,
1231,1046,1020,107,1246,244,231,26,967,1,8,0,1354,2123,2531,308
2001,6776,5563,715,2126,542,451,55,1385,15,14,0,1896,288,77,29
452,2,19,0,475,1038,1164,45,,,,,646,163,240,2
,,,,1801,2168,1890,146,,,,,,,,
473,2,7,0,663,147,145,11,,,,,,,,
,,,,1145,28,23,3,1005,2,5,0,,,,
1239,66,48,1,1260,71,58,1,,,,,,,,
538,0,9,0,935,495,1124,41,1114,8,12,0,,,,
731,0,3,1,,,,,1200,0,1,0,1795,125,63,11
,,,,1257,392,404,26,1126,0,2,0,,,,
1331,736,677,43,1498,1905,1810,185,1250,301,295,39,1468,14,15,1
1255,1,0,0,1287,13969,13820,1185,,,,,Unrated,1,2,0
1814,697,608,57,1896,388,261,36,1613,15,7,1,1528,53,56,1
,,,,,,,,,,,,1905,65,188,3
1247,9063,9651,440,1425,2845,3337,306,1572,164,215,25,1651,149,103,26
690,9,9,0,885,136,124,13,1121,151,101,17,,,,
1120,1,3,0,715,6,22,0,1406,373,353,28,1109,221,228,18
1122,149,126,4,1464,1119,835,51,1476,97,64,5,1000,1,11,0
,,,,1064,2,1,0,717,2,4,0,,,,
1367,1,0,0,802,5,15,5,925,2,4,1,Unrated,0,2,0
1370,148,153,10,1569,450,402,47,1911,116,61,18,1155,2,2,0
1172,193,190,5,1294,5552,5422,286,1374,214,182,24,1305,7,4,0
1002,1,4,0,805,2,11,0,1146,2,2,0,659,6,54,0
1056,57,33,7,1322,679,593,79,1309,2,0,0,1113,10,5,0
794,57,64,8,663,124,144,9,728,111,159,10,,,,
1501,270,215,27,1583,387,319,39,1356,8,6,0,944,13,72,1
902,6,12,0,1023,20,33,2,,,,,,,,
,,,,1563,265,240,19,1489,3,2,0,1313,0,1,0
1115,2082,2074,51,1500,2549,2023,95,,,,,,,,
1019,229,228,9,1022,182,272,24,1035,74,95,9,825,23,34,0
1231,1826,1818,101,1584,2300,2233,222,1460,78,69,17,1391,159,115,27
1144,479,424,30,1435,453,431,32,1264,14,12,1,843,1,9,0
,,,,1098,226,167,40,,,,,,,,
674,1103,1147,15,1145,1703,1569,93,1200,50,18,2,1375,33,6,1
632,0,2,0,882,502,484,17,,,,,,,,
587,0,3,0,1365,101,79,6,1304,7,1,0,,,,
947,259,233,5,1057,940,874,49,,,,,,,,
1312,303,314,26,1362,100,57,3,1507,88,30,5,1577,559,525,24
1067,82,92,4,1439,62,65,9,1509,4,0,0,,,,
1110,18,18,0,1283,457,384,24,1512,65,54,9,2006,368,276,24
1707,10109,9545,446,1714,8800,8333,652,1557,357,321,33,Unrated,0,1,0
703,4,30,0,1027,131,117,18,1462,18,26,0,1356,257,287,18
,,,,927,77,82,16,1007,31,30,11,,,,
,,,,,,,,1385,128,97,8,,,,
892,70,98,8,761,32,29,4,616,74,120,17,1101,224,188,24
,,,,626,107,111,7,,,,,,,,
1294,366,306,6,1382,284,267,15,1118,1,4,0,1502,162,145,7
593,0,2,0,712,70,61,5,,,,,,,,
1768,3853,4321,156,1972,1205,1119,103,1826,109,85,8,1054,0,1,0
,,,,766,9,10,1,,,,,,,,
1612,2206,2062,114,1704,637,558,32,1492,157,106,17,1578,97,61,11
1541,40,26,0,1617,165,87,6,,,,,,,,
703,7,37,0,950,550,823,51,850,8,35,4,1014,58,157,3
,,,,1273,3,4,0,,,,,,,,
804,3,2,2,767,51,23,10,706,24,34,10,592,0,1,0
,,,,700,3,17,0,1066,80,69,9,,,,
1802,1755,2221,72,1809,370,340,25,1220,2,1,0,708,2,7,0
967,134,103,1,1002,170,108,7,1637,11,0,0,,,,
745,3,12,1,1064,52,112,5,1078,15,19,5,1070,5,13,1
739,4,8,0,819,3,6,0,,,,,,,,
665,2,1,0,1078,217,181,32,1281,7,5,0,826,2,6,0
1012,1,2,0,971,284,256,38,,,,,,,,
,,,,1954,10,16,1,,,,,,,,
1542,0,2,0,1223,411,370,21,927,128,137,8,Unrated,0,1,0
1289,670,634,31,1746,5340,5118,371,1645,1711,1678,159,1625,114,81,10
,,,,824,329,316,27,824,10,7,2,,,,
819,75,63,2,791,161,148,18,1097,243,189,19,1048,15,14,7
1148,1,1,0,1459,11,8,1,1149,1,1,1,1392,62,68,8
605,23,39,2,910,134,97,16,1175,22,17,4,894,0,1,0
